TransactionID,Timestamp,TransactionAmount,CardType,Issuer,CardLimit,MerchantCountry,MerchantState,MerchantCity,UserAge,UserAccountTenure,UserIncome,AvgTransactionAmount,TransactionCountLastWeek,IsOnlineTransaction,IsHighRiskCountry,IsWeekendTransaction,TransactionHour,IsRepeatedTransaction,Class
1,79370,289.28627583567544,Debit,BankC,6290.354552143217,UK,State2,CityA,32,17,72768.59171179163,154.0753057416265,6,0,0,0,11,1,0
2,170518,3241.1704380587908,Debit,BankA,19024.58440534214,US,State1,CityB,60,27,43070.15791827494,46.39338409348438,1,1,0,0,23,1,0
3,100982,4566.851592914159,Credit,BankB,3968.2585400099033,US,State3,CityB,41,8,42339.860428194515,97.92554425432233,6,0,0,0,20,0,0
4,33049,2240.287256468537,Debit,BankA,8395.220498924527,UK,State3,CityC,29,4,37988.112259864545,32.94081369210917,5,1,1,1,11,0,0
5,168766,4507.570635802603,Debit,BankC,3631.4160987987425,DE,State3,CityB,39,9,85818.33730329278,68.2986355677698,7,1,0,1,13,1,0
6,141892,4534.003077366872,Debit,BankB,1042.5689884002243,FR,State3,CityA,35,24,49835.81859571956,51.40953117129149,5,1,1,0,10,1,0
7,16005,3047.982764154538,Debit,BankA,5944.912267533023,FR,State3,CityA,19,27,25369.32306083406,105.96351407772262,3,0,1,0,5,1,0
8,122793,2279.2081087876763,Credit,BankC,2656.9976174601397,IN,State2,CityB,79,11,27748.09263065305,36.83091361594296,7,1,0,0,13,0,0
9,62974,3688.3208685021273,Debit,BankB,19740.564938716598,IN,State1,CityB,78,7,31889.149014944167,82.79864352457744,0,1,0,1,1,0,0
10,70168,4581.114030481351,Credit,BankA,15471.413041084248,FR,State2,CityC,77,15,91914.20698007401,62.28095194727529,9,0,1,1,2,1,0
11,108813,3400.1799216948853,Debit,BankC,1070.3911301181674,FR,State2,CityC,32,25,54195.474120587394,151.7492936993256,0,1,0,0,20,1,0
12,10534,1048.0438065065014,Credit,BankC,5249.285111648251,UK,State2,CityB,59,18,93283.94716796167,142.93725689571534,3,0,0,0,17,1,0
13,67224,4100.280531711746,Credit,BankC,13732.360584390623,FR,State1,CityA,56,20,85398.35782096995,28.036800636468325,0,1,1,0,7,0,0
